NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,정류소타입,geometry,그늘막존재,총버스운행횟수,정류소타입_정규화,운행횟수_정규화,시설물유무추정,65세_이상_인구수,정류장_ID,해당시간 운행횟수,해당시간 운행횟수 월별,최대승차인원,최대승차시간,승차인원/운행,정규화,노인인구 정규화,승차인원 정규화,우선순위
105900050,6510,경희대의료원.경희여중고,127.0522472,37.59406201,마을버스,"POLYGON ((127.05236051585557 37.594062435460664, 127.05236002333207 37.59405359886507, 127.05235844466495 37.59404484323335, 127.05235579505805 37.59403625288699, 127.05235210002883 37.59402791055563, 127.05234739516276 37.59401989658043, 127.05234172577055 37.5940122881402, 127.05233514645167 37.59400515850826, 127.05232772056875 37.593998576346735, 127.05231951963711 37.59399260504526, 127.05231062263616 37.5939873021106, 127.0523011152488 37.59398271861277, 127.05229108903617 37.593978898693216, 127.05228064055599 37.59397587913972, 127.05226987043248 37.59397368903217, 127.0522588823875 37.59397234946239, 127.0522477822416 37.593971873331135, 127.05223667689481 37.59397226522378, 127.05222567329734 37.593973521366216, 127.05221487741947 37.59397562966113, 127.05220439323108 37.59397856980456, 127.05219432170031 37.59398231348141, 127.05218475982126 37.593986824638144, 127.05217579967987 37.59399205982998, 127.05216752756708 37.593997968639314, 127.05216002314782 37.59400449416122, 127.05215335869377 37.59401157355152, 127.05214759838739 37.59401913863196, 127.05214279770374 37.59402711654678, 127.05213900287623 37.59403543046448, 127.05213625045148 37.594044000317545, 127.05213456693718 37.594052743573684, 127.05213396854681 37.594061576030626, 127.05213446104362 37.59407041262698, 127.05213603968495 37.594079168261494, 127.05213868926805 37.59408775861258, 127.05214238427625 37.59409610095039, 127.05214708912497 37.59410411493356, 127.05215275850415 37.59411172338293, 127.05215933781477 37.59411885302485, 127.05216676369461 37.59412543519683, 127.05217496462842 37.5941314065088, 127.05218386163668 37.594136709453586, 127.05219336903626 37.594141292960835, 127.0522033952655 37.5941451128887, 127.0522138437661 37.594148132449064, 127.05222461391301 37.59415032256182, 127.05223560198345 37.59415166213491, 127.05224670215598 37.594152138267475, 127.05225780752949 37.59415174637406, 127.05226881115271 37.594150490228834, 127.0522796070544 37.59414838192921, 127.05229009126381 37.59414544177931, 127.05230016281193 37.59414169809451, 127.05230972470402 37.59413718692862, 127.05231868485365 37.59413195172681, 127.05232695696951 37.59412604290702, 127.05233446138661 37.59411951737462, 127.05234112583334 37.594112437974175, 127.05234688612752 37.59410487288434, 127.05235168679457 37.5940968949612, 127.05235548160164 37.59408858103662, 127.052358234003 37.59408001117836, 127.05235991749181 37.5940712679189, 127.05236051585557 37.594062435460664))",FALSE,1253,0.1,0.057102493,0.069971745,3656,105900050,13,260,6109,14,23.49615385,0.610222365,0.355328716,0.752330061,0.653092439
105900027,6502,회기역,127.0578477,37.59012302,마을버스,"POLYGON ((127.05796094647181 37.59012344014835, 127.05796045330716 37.59011460356618, 127.05795887406173 37.59010584799989, 127.05795622394491 37.59009725777031, 127.05795252847909 37.590088915605975, 127.05794782325397 37.59008090184644, 127.05794215358365 37.590073293668425, 127.05793557407036 37.59006616434272, 127.05792814807855 37.59005958252851, 127.05791994712457 37.590053611612085, 127.05791105018811 37.59004830909652, 127.0579015429514 37.590043726047746, 127.05789151697417 37.590039906602925, 127.05788106881178 37.590036887545274, 127.05787029908554 37.590034697949854, 127.05785931151334 37.590033358903604, 127.05784821191125 37.59003288330223, 127.05783710717407 37.59003327572601, 127.0578261042461 37.59003453239568, 127.05781530909118 37.59003664120889, 127.05780482567225 37.590039581856665, 127.05779475495004 37.59004332601907, 127.05778519391086 37.59004783763788, 127.05777623463254 37.59005307326388, 127.05776796339774 37.59005898247526, 127.05776045986288 37.59006550836322, 127.05775379629118 37.59007258808009, 127.05774803685655 37.59008015344444, 127.05774323702572 37.590088131597795, 127.05773944302389 37.590096445706344, 127.05773669138965 37.59010501570073, 127.0577350086231 37.59011375904733, 127.05773441093058 37.590122591542965, 127.05773490406855 37.59013142812589, 127.05773648328822 37.59014018369498, 127.05773913338122 37.590148773929286, 127.05774282882602 37.59015711610006, 127.05774753403381 37.59016512986758, 127.05775320369109 37.590172738054754, 127.05775978319615 37.590179867390425, 127.05776720918489 37.59018644921508, 127.05777541014102 37.59019242014199, 127.05778430708482 37.59019772266772, 127.05779381433373 37.590202305725875, 127.05780384032758 37.590206125179, 127.05781428851037 37.590209144243545, 127.05782505826004 37.590211333844145, 127.0578360458577 37.590212672893706, 127.0578471454864 37.59021314849639, 127.05785825025028 37.59021275607185, 127.05786925320399 37.59021149939937, 127.05788004838273 37.59020939058144, 127.05789053182265 37.590206449927194, 127.05790060256221 37.59020270575683, 127.05791016361444 37.59019819412888, 127.05791912290098 37.590192958492885, 127.05792739413887 37.59018704927108, 127.05793489767157 37.590180523372624, 127.05794156123594 37.590173443645604, 127.05794732065834 37.59016587827186, 127.05795212047255 37.59015790011019, 127.05795591445398 37.59014958599478, 127.05795866606485 37.59014101599517, 127.05796034880589 37.59013227264529, 127.05796094647181 37.59012344014835))",FALSE,4134,0.1,0.188397211,0.161878048,3656,105900027,42,840,8102,13,9.645238095,0.210426846,0.355328716,1,0.609063281
101900005,2510,신당역하나은행,127.0215879,37.56542311,마을버스,"POLYGON ((127.02170109658593 37.56542356908844, 127.02170060783979 37.565414732347904, 127.02169903333618 37.56540597629215, 127.02169638823874 37.56539738524669, 127.0216926980216 37.56538904194797, 127.02168799822384 37.565381026746365, 127.02168233410737 37.5653734168326, 127.02167576022086 37.56536628549413, 127.0216683398746 37.56535970140951, 127.0216601445306 37.56535372798693, 127.02165125311447 37.56534842275355, 127.0216417512553 37.56534383680155, 127.02163173046105 37.56534001429598, 127.02162128723715 37.56533699204956, 127.02161052215733 37.565334799168085, 127.02159953889479 37.565333456770105, 127.02158844322405 37.56533297778361, 127.02157734200203 37.56533336682149, 127.02156634213924 37.56533462013711, 127.02155554956998 37.565336725660366, 127.02154506823223 37.56533966311401, 127.02153499906674 37.56534340420885, 127.02152543904482 37.56534791291621, 127.0215164802345 37.565353145814896, 127.02150820891389 37.56535905250938, 127.02150070474032 37.565365576115134, 127.02149403998312 37.565372653806406, 127.02148827882762 37.56538021742129, 127.02148347675706 37.5653881941182, 127.02147968001827 37.565396507077295, 127.0214769251762 37.56540507624033, 127.02147523876184 37.565413819081655, 127.02147463701664 37.56542265140298, 127.02147512573612 37.56543148814424, 127.02147670021402 37.56544024420278, 127.02147934528762 37.56544883525294, 127.02148303548377 37.565457178558106, 127.02148773526416 37.56546519376762, 127.02149339936761 37.565472803690525, 127.02149997324585 37.56547993503897, 127.021507393589 37.56548651913401, 127.02151558893512 37.56549249256708, 127.02152448035852 37.5654977978106, 127.02153398222985 37.565502383772014, 127.0215440030407 37.565506206285896, 127.02155444628492 37.565509228539206, 127.02156521138811 37.56551142142589, 127.02157619467609 37.56551276382719, 127.02158729037342 37.565513242815, 127.02159839162208 37.56551285377638, 127.02160939151062 37.56551160045802, 127.0216201841037 37.565509494930055, 127.02163066546241 37.565506557469966, 127.02164073464526 37.56550281636718, 127.02165029468024 37.5654983076507, 127.02165925349881 37.56549307474203, 127.02166752482253 37.56548716803711, 127.02167502899395 37.56548064442087, 127.0216816937439 37.56547356671947, 127.02168745488724 37.565466003095175, 127.02169225694122 37.56545802638996, 127.02169605365967 37.56544971342399, 127.02169880847839 37.56544114425574, 127.0217004948673 37.56543240141109, 127.02170109658593 37.56542356908844))",FALSE,919,0.1,0.041881238,0.059316866,5438,101900005,8,160,3492,14,21.825,0.561985857,0.571879937,0.427115695,0.599737784
118900067,19645,당산역.지하철2호선,126.9023378,37.53474,마을버스,"POLYGON ((126.90245097666167 37.53474057626075, 126.90245050215438 37.53473173909848, 126.90244894222076 37.53472298152744, 126.90244631188412 37.534714387887725, 126.90244263647645 37.534706040940776, 126.90243795139425 37.53469802107212, 126.90243230175761 37.534690405517395, 126.90242574197585 37.534683267618405, 126.90241833522336 37.53467667611688, 126.90241015283125 37.53467069449244, 126.90240127360045 37.534665380351235, 126.90239178304267 37.53466078487122, 126.90238177255698 37.53465695230922, 126.90237133854961 37.534653919574815, 126.90236058150548 37.53465171587477, 126.90234960502045 37.53465036243185, 126.90233851480372 37.53464987228041, 126.90232741765972 37.53465025014084, 126.90231642045968 37.53465149237417, 126.90230562911223 37.53465358701702, 126.90229514754365 37.53465651389693, 126.90228507669686 37.53466024482654, 126.90227551355933 37.534664743875055, 126.90226655022916 37.534669967714294, 126.90225827302797 37.53467586603602, 126.9022507616697 37.53468238203629, 126.90224408849286 37.53468945296261, 126.90223831776392 37.53469701071825, 126.90223350505826 37.53470498251801, 126.90222969672516 37.53471329158924, 126.90222692944123 37.534721857911144, 126.90222522985728 37.53473059898541, 126.90222461434155 37.5347394306308, 126.90222508882219 37.53474826779371, 126.90222664873009 37.53475702536747, 126.90222927904288 37.53476561901179, 126.90223295442952 37.53477396596513, 126.90223763949432 37.534781985841654, 126.90224328911779 37.53478960140547, 126.90224984889122 37.534796739314395, 126.90225725564045 37.53480333082634, 126.90226543803453 37.53480931246126, 126.9022743172725 37.53481462661261, 126.90228380784232 37.53481922210205, 126.90229381834446 37.53482305467239, 126.90230425237205 37.534826087413734, 126.90231500943945 37.53482829111905, 126.90232598594984 37.53482964456537, 126.90233707619309 37.53483013471821, 126.9023481733637 37.5348297568571, 126.90235917058949 37.534828514621076, 126.90236996196077 37.53482641997359, 126.9023804435504 37.53482349308731, 126.90239051441462 37.53481976214982, 126.90240007756528 37.53481526309223, 126.90240904090379 37.53481003924302, 126.90241731810822 37.53480414091089, 126.9024248294645 37.53479762490015, 126.90243150263419 37.53479055396368, 126.90243727335113 37.53478299619862, 126.90244208604032 37.53477502439052, 126.90244589435316 37.534766715312344, 126.90244866161385 37.53475814898518, 126.90245036117246 37.534749407907526, 126.90245097666167 37.53474057626075))",FALSE,1293,0.1,0.058925398,0.071247778,5438,118900067,10,200,3863,14,19.315,0.48953673,0.571879937,0.473219833,0.593070561
108900168,9579,미아사거리전철역,127.0304263,37.61286835,마을버스,"POLYGON ((127.03053955602839 37.61286880539276, 127.03053906598649 37.612859968750634, 127.03053748950576 37.61285121286931, 127.03053484176894 37.612842622072684, 127.03053114827556 37.61283427909475, 127.03052644459623 37.61282626428286, 127.03052077603023 37.612818654823904, 127.03051419716915 37.612811524001025, 127.03050677137112 37.612804940487784, 127.03049857015071 37.612798967686864, 127.03048967249008 37.61279366311945, 127.03048016407848 37.61278907787129, 127.03047013648695 37.612785256100665, 127.03045968628642 37.61278223461324, 127.03044891411776 37.61278004250747, 127.03043792372247 37.612778700894445, 127.03042682094372 37.612778222694594, 127.03041571270695 37.612778612513225, 127.0304047059902 37.61277986659619, 127.03039390679376 37.61278197286601, 127.03038341911945 37.612784911038226, 127.030373343969 37.61278865281675, 127.03036377837142 37.61279316216629, 127.03035481444839 37.61279839565948, 127.0303465385273 37.612804302895086, 127.03033903030978 37.61281082698333, 127.03033236210402 37.61281790509384, 127.03032659812865 37.6128254690607, 127.03032179389406 37.61283344603887, 127.03031799566793 37.61284175920584, 127.0303152400295 37.61285032850137, 127.03031355351743 37.61285907139851, 127.03031295237415 37.61286790369846, 127.03031344238931 37.61287674034134, 127.03031501884426 37.61288549622544, 127.03031766655718 37.612894087026774, 127.03032136002956 37.61290243001116, 127.03032606369148 37.61291044483101, 127.03033173224439 37.6129180542991, 127.03033831109722 37.61292518513198, 127.03034573689213 37.61293176865567, 127.03035393811469 37.6129377414671, 127.03036283578261 37.61294304604466, 127.0303723442064 37.61294763130224, 127.03038237181457 37.61295145308118, 127.03039282203551 37.6129544745755, 127.0304035942276 37.6129566666865, 127.03041458464836 37.61295800830285, 127.03042568745376 37.61295848650402, 127.03043679571724 37.61295809668463, 127.03044780245979 37.612956842598884, 127.0304586016801 37.612954736324355, 127.03046908937546 37.61295179814568, 127.03047916454327 37.61294805635921, 127.03048873015393 37.61294354700052, 127.03049769408521 37.61293831349734, 127.0305059700094 37.61293240625127, 127.03051347822482 37.612925882152524, 127.03052014642329 37.612918804031864, 127.03052591038643 37.6129112400556, 127.0305307146044 37.61290326306909, 127.03053451281014 37.61289494989523, 127.03053726842515 37.61288638059449, 127.0305389549117 37.61287763769401, 127.03053955602839 37.61286880539276))",FALSE,1061,0.1,0.04835255,0.063846785,3985,108900168,8,160,3926,14,24.5375,0.640279983,0.395309272,0.481048838,0.590442608
115900068,16565,까치산역1번출구,126.8463346,37.53260556,마을버스,"POLYGON ((126.84644777722502 37.53260618890332, 126.8464473093394 37.53259735157408, 126.84644575600636 37.53258859332105, 126.84644313218577 37.53257999849096, 126.84643946314674 37.53257164985663, 126.84643478422446 37.53256362781989, 126.84642914047973 37.53255600963725, 126.84642258626513 37.53254886867582, 126.84641518470143 37.53254227370681, 126.84640700706976 37.53253628824325, 126.84639813212516 37.532530969928274, 126.84638864533815 37.53252636998, 126.84637863807143 37.532522532698295, 126.84636820670026 37.532519495038215, 126.84635745168416 37.532517286253935, 126.84634647659944 37.53251592761719, 126.84633538714183 37.53251543221237, 126.84632429010846 37.53251580481044, 126.84631329236949 37.532517041823105, 126.84630249983876 37.53251913133729, 126.84629201645389 37.532522053229904, 126.8462819431753 37.532525779361606, 126.84627237701396 37.53253027384783, 126.84626341009698 37.53253549340434, 126.84625512878061 37.5325413877641, 126.84624761281836 37.53254790016135, 126.84624093459311 37.532554967878305, 126.84623515841994 37.53256252284914, 126.84623033992666 37.532570492315465, 126.8462265255183 37.532578799527116, 126.84622375192997 37.532587364481174, 126.84622204587316 37.53259610469254, 126.8462214237785 37.532604935988246, 126.84622189163748 37.532613773318104, 126.84622344494477 37.5326225315738, 126.84622606874149 37.532631126408496, 126.84622973775946 37.53263947504917, 126.84623441666429 37.53264749709376, 126.8462400603958 37.532655115285486, 126.84624661460201 37.53266225625683, 126.8462540161624 37.53266885123624, 126.84626219379601 37.53267483671029, 126.84627106874767 37.53268015503542, 126.8462805555467 37.53268475499315, 126.8462905628298 37.5326885922832, 126.84630099422117 37.53269162995025, 126.84631174926051 37.53269383873983, 126.84632272437058 37.53269519737999, 126.84633381385468 37.53269569278625, 126.84634491091467 37.53269532018754, 126.8463559086794 37.53269408317221, 126.84636670123399 37.53269199365342, 126.84637718463992 37.532689071754476, 126.84638725793597 37.5326853456149, 126.84639682411051 37.532680851119615, 126.84640579103589 37.53267563155318, 126.84641407235557 37.532669737183014, 126.84642158831586 37.53266322477527, 126.84642826653403 37.53265615704816, 126.84643404269525 37.53264860206789, 126.8464388611721 37.53264063259319, 126.84644267556027 37.532632325374585, 126.84644544912537 37.53262376041522, 126.84644715515687 37.532615020200446, 126.84644777722502 37.53260618890332))",FALSE,567,0.1,0.025839676,0.048087773,1906,115900068,4,80,2681,14,33.5125,0.899336124,0.142666181,0.326332795,0.54878286
120900089,21651,신림역,126.9296507,37.48548832,마을버스,"POLYGON ((126.92976380177112 37.48548886557709, 126.92976332427783 37.48548002842692, 126.92976176209758 37.48547127112578, 126.92975913027543 37.48546267801121, 126.92975545415753 37.48545433183956, 126.92975076914728 37.48544631298893, 126.92974512036407 37.485438698685094, 126.92973856220904 37.48543156225785, 126.92973115784088 37.48542497243476, 126.92972297856774 37.48541899267925, 126.92971410316048 37.485413680579505, 126.92970461709402 37.485409087293796, 126.92969461172417 37.48540525705783, 126.92968418340794 37.48540222675876, 126.92967343257536 37.48540002557993, 126.9296624627625 37.48539867471982, 126.9296513796143 37.48539818718789, 126.92964028986717 37.485398567679326, 126.92962930032103 37.485399812529785, 126.92961851681086 37.48540190975074, 126.92960804318743 37.48540483914487, 126.92959798031711 37.48540857250058, 126.92958842511064 37.485413073863754, 126.92957946958967 37.485418299883904, 126.92957120000065 37.48542420023177, 126.92956369598421 37.4854307180839, 126.92955702980812 37.48543779066999, 126.92955126567145 37.4854453498773, 126.92954645908613 37.48545332290667, 126.92954265634243 37.485461632973596, 126.92953989406318 37.48547020004768, 126.92953819885095 37.4854789416234, 126.92953758703194 37.48548777351465, 126.92953806449867 37.48549661066549, 126.92953962665324 37.485505367969346, 126.92954225845163 37.48551396108854, 126.92954593454857 37.48552230726658, 126.92955061954146 37.48553032612509, 126.92955626831156 37.485537940437986, 126.9295628264583 37.48554507687516, 126.92957023082326 37.485551666708645, 126.92957841009842 37.48555764647461, 126.92958728551284 37.48556295858449, 126.92959677159132 37.485567551879605, 126.9296067769776 37.48557138212389, 126.92961720531405 37.48557441242987, 126.92962795616984 37.485576613613944, 126.929638926008 37.48557796447743, 126.92965000918265 37.48557845201072, 126.92966109895634 37.48557807151861, 126.92967208852814 37.48557682666544, 126.9296828720621 37.48557472943984, 126.9296933457065 37.48557180003934, 126.92970340859416 37.48556806667574, 126.92971296381371 37.485563565303494, 126.92972191934301 37.48555833927343, 126.92973018893522 37.48555243891517, 126.92973769294966 37.485545921052584, 126.92974435911856 37.48553884845636, 126.92975012324324 37.485531289239646, 126.92975492981212 37.485523316201956, 126.92975873253559 37.48551500612812, 126.92976149479163 37.485506439048784, 126.92976318997854 37.4854976974697, 126.92976380177112 37.48548886557709))",FALSE,1280,0.1,0.058332954,0.070833067,4128,120900089,9,180,3213,14,17.85,0.447250686,0.412686839,0.392444389,0.518551084
113900300,14497,홍대입구역,126.9236679,37.55732547,마을버스,"POLYGON ((126.92378113154635 37.5573260267993, 126.92378065441174 37.55731718973421, 126.92377909154305 37.55730843245358, 126.92377645799185 37.557299839294714, 126.9237727791211 37.557291493014404, 126.92376809036055 37.55728347399179, 126.92376243686586 37.5572758594543, 126.92375587308344 37.557268722734015, 126.9237484622262 37.557262132561284, 126.9237402756648 37.5572561524029, 126.92373139224031 37.557250839850944, 126.92372189750479 37.55724624606802, 126.92371188289763 37.55724241529464, 126.92370144486472 37.55723938442315, 126.92369068392969 37.557237182642375, 126.9236797037259 37.5572358311566, 126.9236686099984 37.557235342981315, 126.92365750958542 37.55723572281789, 126.92364650938963 37.55723696700833, 126.92363571534857 37.55723906357041, 126.9236252314144 37.557241992313166, 126.92361515855285 37.55724572503132, 126.92360559377083 37.557250225776826, 126.9235966291822 37.557255451205215, 126.92358835112077 37.557261350992874, 126.92358083930874 37.55726786832178, 126.92357416608897 37.55727494042665, 126.92356839572834 37.55728249919938, 126.92356358379874 37.55729047184499, 126.92355977664194 37.557298781582695, 126.92355701092318 37.557307348385265, 126.92355531327826 37.55731608974976, 126.92355470005675 37.55732492149213, 126.92355517716466 37.557333758557895, 126.92355674000763 37.55734251584126, 126.92355937353494 37.55735110900476, 126.9235630523847 37.55735945529147, 126.92356774112778 37.55736747432198, 126.92357339460933 37.557375088868554, 126.92357995838344 37.5573822255988, 126.92358736923744 37.55738881578196, 126.92359555580084 37.55739479595083, 126.92360443923253 37.557400108512944, 126.92361393398009 37.557404702305284, 126.92362394860376 37.557408533087, 126.92363438665697 37.55741156396542, 126.92364514761528 37.557413765751456, 126.92365612784445 37.55741511724064, 126.92366722159849 37.55741560541729, 126.92367832203814 37.55741522558002, 126.92368932225968 37.55741398138688, 126.92370011632461 37.557411884820155, 126.9237106002798 37.557408956071, 126.9237206731588 37.55740522334496, 126.92373023795395 37.55740072259035, 126.92373920255092 37.557395497152015, 126.92374748061557 37.55738959735393, 126.9237549924256 37.557383080014546, 126.9237616656382 37.55737600789952, 126.92376743598675 37.55736844911736, 126.92377224789986 37.5573604764634, 126.92377605503641 37.55735216671876, 126.92377882073185 37.557343599910936, 126.92378051835136 37.557334858543065, 126.92378113154635 37.5573260267993))",FALSE,1978,0.1,0.090142642,0.09309985,4137,113900300,18,360,3955,14,10.98611111,0.249130065,0.413780532,0.484652666,0.492503479
120900093,21678,낙성대역,126.9648558,37.47632106,마을버스,"POLYGON ((126.96496885552594 37.476321569568, 126.96496837392958 37.47631273251439, 126.96496680781237 37.47630397563449, 126.96496417225727 37.47629538326176, 126.9649604926464 37.47628703814542, 126.9649558044168 37.476279020653394, 126.96495015271891 37.4762714079984, 126.96494359198182 37.47626427349433, 126.96493618538918 37.47625768585022, 126.96492800427053 37.47625170850856, 126.96491912741452 37.47624639903424, 126.96490964031001 37.47624180856023, 126.96489963432285 37.47623798129522, 126.9648892058159 37.47623495409772, 126.96487845522108 37.476232756121206, 126.96486748607218 37.476231408533295, 126.96485640400775 37.47623092431198, 126.96484531575375 37.47623130812053, 126.9648343280957 37.47623255626269, 126.96482354685043 37.476234656718184, 126.96481307584685 37.47623758925857, 126.96480301592618 37.47624132564196, 126.96479346397071 37.47624582988505, 126.96478451197076 37.476251058609655, 126.96477624613887 37.476256961460436, 126.96476874607951 37.47626348158988, 126.96476208402238 37.47627055620569, 126.96475632412684 37.476278117175625, 126.96475152186393 37.476286091683555, 126.9647477234824 37.476294402930684, 126.96474496556299 37.47630297087531, 126.96474327466628 37.476311713003476, 126.96474266707696 37.47632054512378, 126.96474314864678 37.476329382178086, 126.96474471473834 37.47633813906073, 126.96474735026969 37.476346731438106, 126.9647510298596 37.47635507656084, 126.96475571807188 37.47636309406075, 126.96476136975674 37.47637070672483, 126.96476793048555 37.47637784123882, 126.96477533707505 37.47638442889331, 126.96478351819573 37.47639040624545, 126.96479239505892 37.476395715729886, 126.96480188217548 37.47640030621327, 126.96481188817911 37.4764041334866, 126.9648223167063 37.47640716069099, 126.96483306732432 37.47640935867273, 126.96484403649853 37.476410706263984, 126.9648551185894 37.47641119048666, 126.96486620686996 37.4764108066774, 126.96487719455365 37.476409558532524, 126.96488797582268 37.476407458072366, 126.96489844684716 37.4764045255256, 126.96490850678516 37.47640078913432, 126.9649180587537 37.476396284882135, 126.96492701076191 37.47639105614761, 126.96493527659695 37.47638515328642, 126.96494277665424 37.476378633146545, 126.96494943870421 37.4763715585206, 126.96495519858772 37.476363997541284, 126.96496000083415 37.476356023025055, 126.96496379919544 37.47634771177102, 126.96496655709167 37.47633914382118, 126.96496824796303 37.47633040168966, 126.96496885552594 37.476321569568))",FALSE,1060,0.1,0.048306977,0.063814884,4128,120900093,9,180,2761,14,15.33888889,0.374769487,0.412686839,0.336274388,0.484983421
112900230,13802,신촌전철역,126.9371485,37.55539011,마을버스,"POLYGON ((126.93726174738384 37.55539065214942, 126.9372612686659 37.55538181512308, 126.93725970425477 37.555373058005515, 126.9372570692169 37.555364465132506, 126.93725338892949 37.55535611925806, 126.93724869883606 37.55534810075742, 126.93724304410496 37.555340486853005, 126.93723647919461 37.555333350870754, 126.93722906732876 37.555326761533934, 126.93722087988778 37.55532078230131, 126.93721199572114 37.55531547075599, 126.9372025003882 37.55531087805096, 126.93719248533398 37.5553070484163, 126.93718204700866 37.555304018733395, 126.93717128593882 37.55530181817962, 126.93716030575902 37.555300467947454, 126.93714921221405 37.55529998104031, 126.93713811214046 37.555300362147364, 126.9371271124376 37.55530160759835, 126.9371163190383 37.555303705398934, 126.93710583588852 37.55530663534621, 126.93709576394642 37.55531036922329, 126.93708620021006 37.555314871071005, 126.93707723678328 37.55532009753422, 126.93706895998862 37.55532599827939, 126.93706144953613 37.55533251647926, 126.93705477775559 37.55533958936017, 126.93704900889999 37.55534714880653, 126.93704419852675 37.5553551220169, 126.93704039296261 37.555363432205, 126.93703762885755 37.5553719993393, 126.93703593283172 37.55538074091367, 126.93703532121917 37.55538957274203, 126.93703579991045 37.555398409769055, 126.93703736429583 37.555407166889346, 126.93703999930986 37.555415759767, 126.93704367957622 37.55542410564785, 126.93704836965226 37.55543212415639, 126.93705402437023 37.5554397380699, 126.93706058927225 37.55544687406211, 126.9370680011349 37.55545346340934, 126.93707618857792 37.55545944265246, 126.93708507275171 37.55546475420791, 126.93709456809674 37.55546934692238, 126.93710458316747 37.555473176565386, 126.93711502151305 37.55547620625522, 126.93712578260622 37.55547840681424, 126.93713676281142 37.55547975704978, 126.93714785638294 37.5554802439583, 126.93715895648317 37.55547986285055, 126.93716995621178 37.55547861739685, 126.93718074963492 37.555476519591615, 126.93719123280574 37.55547358963794, 126.93720130476527 37.55546985575296, 126.93721086851473 37.555465353896146, 126.93721983194983 37.55546012742298, 126.93722810874772 37.55545422666738, 126.93723561919818 37.555447708457024, 126.93724229097153 37.55544063556596, 126.93724805981503 37.55543307611018, 126.93725287017179 37.555425102891476, 126.93725667571564 37.55541679269645, 126.9372594397974 37.5554082255569, 126.93726113579783 37.55539948397915, 126.93726174738384 37.55539065214942))",FALSE,2847,0.1,0.129745249,0.120821674,3414,112900230,25,500,4618,14,9.236,0.198614519,0.325920525,0.567043619,0.477082512
